Sequence_ID,Cluster,Novelty,Confidence,Category,Function
Sequence_384,0,0.4037,0.6968,Known-like,Unknown/General
Sequence_385,0,0.329,0.7299,Known-like,Unknown/General
Sequence_386,0,0.3194,0.7343,Known-like,Unknown/General
Sequence_387,0,0.0,0.9228,Known-like,Unknown/General
Sequence_388,0,0.2099,0.7897,Known-like,Unknown/General
Sequence_389,0,0.3514,0.7196,Known-like,Unknown/General
Sequence_390,0,0.1862,0.8027,Known-like,Unknown/General
Sequence_391,0,0.3588,0.7163,Known-like,Unknown/General
Sequence_392,0,0.6866,0.5947,Similar,Unknown/General
Sequence_393,0,0.4878,0.663,Similar,Unknown/General
Sequence_394,0,0.28,0.7533,Known-like,Unknown/General
Sequence_395,0,0.4945,0.6604,Similar,Unknown/General
Sequence_396,0,0.3652,0.7135,Known-like,Unknown/General
Sequence_397,0,0.2806,0.753,Known-like,Unknown/General
Sequence_398,0,0.1057,0.8506,Known-like,Unknown/General
Sequence_399,0,0.1534,0.8215,Known-like,Unknown/General
Sequence_400,1,0.9564,0.5218,Potentially novel,Bioactive-like
Sequence_401,2,0.9801,0.5163,Potentially novel,Bioactive-like
Sequence_402,1,0.9655,0.5197,Potentially novel,Enzyme-like
Sequence_403,2,0.9347,0.527,Potentially novel,Bioactive-like
Sequence_404,1,0.9691,0.5188,Potentially novel,Bioactive-like
Sequence_405,2,0.9666,0.5194,Potentially novel,Enzyme-like
Sequence_406,2,0.9873,0.5146,Potentially novel,Bioactive-like
Sequence_407,2,0.9545,0.5223,Potentially novel,Bioactive-like
Sequence_408,2,0.9725,0.518,Potentially novel,Bioactive-like
Sequence_409,1,0.9572,0.5216,Potentially novel,Bioactive-like
Sequence_410,1,0.9607,0.5208,Potentially novel,Bioactive-like
Sequence_411,2,0.9501,0.5233,Potentially novel,Bioactive-like
Sequence_412,1,0.9747,0.5175,Potentially novel,Bioactive-like
Sequence_413,1,0.9781,0.5167,Potentially novel,Bioactive-like
Sequence_414,2,0.9415,0.5254,Potentially novel,Bioactive-like
Sequence_415,1,0.9576,0.5215,Potentially novel,Bioactive-like
Sequence_416,1,0.962,0.5205,Potentially novel,Bioactive-like
Sequence_417,1,0.9702,0.5186,Potentially novel,Bioactive-like
Sequence_418,1,0.9758,0.5172,Potentially novel,Bioactive-like
Sequence_419,2,0.9745,0.5176,Potentially novel,Bioactive-like
Sequence_420,2,0.9723,0.5181,Potentially novel,Bioactive-like
Sequence_421,2,0.9347,0.527,Potentially novel,Bioactive-like
Sequence_422,1,0.9741,0.5176,Potentially novel,Bioactive-like
Sequence_423,1,0.9836,0.5154,Potentially novel,Bioactive-like
Sequence_424,2,0.9689,0.5189,Potentially novel,Bioactive-like
Sequence_425,2,0.9807,0.5161,Potentially novel,Bioactive-like
Sequence_426,2,0.9347,0.527,Potentially novel,Bioactive-like
Sequence_427,2,0.9574,0.5216,Potentially novel,Bioactive-like
Sequence_428,1,0.9588,0.5212,Potentially novel,Bioactive-like
Sequence_429,1,0.9621,0.5205,Potentially novel,Bioactive-like
Sequence_430,1,0.9924,0.5134,Potentially novel,Enzyme-like
Sequence_431,1,0.9828,0.5156,Potentially novel,Bioactive-like
Sequence_432,2,0.9688,0.5189,Potentially novel,Bioactive-like
Sequence_433,1,0.9606,0.5208,Potentially novel,Bioactive-like
Sequence_434,2,0.9722,0.5181,Potentially novel,Bioactive-like
Sequence_435,1,0.9637,0.5201,Potentially novel,Bioactive-like
Sequence_436,2,0.965,0.5198,Potentially novel,Bioactive-like
Sequence_437,1,0.949,0.5236,Potentially novel,Bioactive-like
Sequence_438,2,0.9674,0.5192,Potentially novel,Bioactive-like
Sequence_439,1,0.9652,0.5197,Potentially novel,Bioactive-like
Sequence_440,2,0.9746,0.5175,Potentially novel,Bioactive-like
Sequence_441,1,0.9937,0.5131,Potentially novel,Bioactive-like
Sequence_442,1,0.9865,0.5148,Potentially novel,Bioactive-like
Sequence_443,1,0.9646,0.5199,Potentially novel,Bioactive-like
