Sequence_108, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_109, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_110, Cluster_0, Distance_0.1904, Novelty_0.1226, Confidence_0.8401, Known-like
Sequence_111, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_112, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_113, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_114, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_115, Cluster_0, Distance_0.1877, Novelty_0.1196, Confidence_0.8419, Known-like
Sequence_116, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_117, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_118, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_119, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_120, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_121, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_122, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_123, Cluster_0, Distance_0.1953, Novelty_0.1283, Confidence_0.8366, Known-like
Sequence_124, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_125, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_126, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_127, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_128, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_129, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_130, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_131, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_132, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_133, Cluster_0, Distance_0.1877, Novelty_0.1196, Confidence_0.8419, Known-like
Sequence_134, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_135, Cluster_0, Distance_0.1912, Novelty_0.1236, Confidence_0.8395, Known-like
Sequence_136, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_137, Cluster_0, Distance_0.1833, Novelty_0.1144, Confidence_0.8451, Known-like
Sequence_138, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_139, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_140, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_141, Cluster_0, Distance_0.1864, Novelty_0.1180, Confidence_0.8429, Known-like
Sequence_142, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_143, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_144, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_145, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_146, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_147, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_148, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_149, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_150, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_151, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_152, Cluster_0, Distance_0.1912, Novelty_0.1236, Confidence_0.8395, Known-like
Sequence_153, Cluster_0, Distance_0.1846, Novelty_0.1159, Confidence_0.8442, Known-like
